id,name,category,description
rSs93HQwa1,"Amazon RDS Public Snapshots",security,"Checks the permission settings for your Amazon Relational Database Service (Amazon RDS) DB snapshots and alerts you if any snapshots are marked as public. When you make a snapshot public, you give all AWS accounts and users access to all the data on the snapshot. If you want to share a snapshot with particular users or accounts, mark the snapshot as private, and then specify the user or accounts you want to share the snapshot data with. <h4 class='headerBodyStyle'>Note</h4>: Results for this check are automatically refreshed several times daily, and refresh requests are not allowed. It might take a few hours for changes to appear.<br/><br/><h4 class='headerBodyStyle'>Alert Criteria</h4><br/>Red: The RDS  snapshot is marked as public.<br/><br/><h4 class='headerBodyStyle'>Recommended Action</h4><br/>Unless you are certain you want to share all the data in the snapshot with all AWS accounts and users, modify the permissions: mark the snapshot as private, and then specify the accounts that you want to give permissions to. For more information, see <a href=""https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_ShareSnapshot.html"" target=""_blank"">Sharing a DB Snapshot or DB Cluster Snapshot</a>. Note: For temporary technical reasons, items in this check cannot be excluded from view in the Trusted Advisor console.To modify permissions for your snapshots directly, you can use a runbook in the AWS Systems Manager console. For more information, see <a href=""https://docs.aws.amazon.com/systems-manager-automation-runbooks/latest/userguide/automation-awssupport-modifyrdssnapshotpermission.html"" target=""_blank"">AWSSupport-ModifyRDSSnapshotPermission</a>.<br/><br/> <h4 class='headerBodyStyle'>Additional Resources</h4><br/><a href=""https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/CHAP_CommonTasks.BackupRestore.html"" target=""_blank"">Backing Up and Restoring Amazon RDS DB Instances</a>"
c18d2gz134,"Amazon Redshift cluster audit logging","operational_excellence","Checks if your Amazon Redshift clusters have database audit logging turned on. Amazon Redshift logs information about connections and user activities in your database. <br><br>For more information, see <a href=""https://docs.aws.amazon.com/redshift/latest/mgmt/db-auditing.html"" target=""_blank"">Database audit logging</a><br><br><b>Source</b><br>AWS Config Managed Rule: redshift-audit-logging-enabled<br><br><b>Alert Criteria</b><br>Yellow: Amazon Redshift cluster has database audit logging disabled<br><br><b>Recommended Action</b><br>Turn on logging and monitoring for your Amazon Redshift clusters. For more information see <a href=""https://docs.aws.amazon.com//redshift/latest/mgmt/db-auditing-console.html"" target=""_blank"">Configuring auditing using the console</a>.<br><br><b>Additional Resources</b><br><a href=""https://docs.aws.amazon.com/redshift/latest/mgmt/security-incident-response.html"" target=""_blank"">Logging and monitoring in Amazon Redshift</a>"
c18d2gz131,"Amazon Aurora MySQL cluster backtracking not enabled","fault_tolerance","Checks if an Amazon Aurora MySQL cluster has backtracking enabled.<br><br>Amazon Aurora MySQL cluster backtracking is a feature that allows you to restore an Aurora DB cluster to a previous point in time without creating a new cluster. It enables you to roll back your database to a specific point in time within a retention period, without the need to restore from a snapshot.<br><br>For more information, see <a href=""https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/AuroraMySQL.Managing.Backtrack.html"" target=""_blank"">Backtracking an Aurora DB cluster.</a><br><br><b>Source</b><br>AWS Config Managed Rule: aurora-mysql-backtracking-enabled<br><br><b>Alert Criteria</b><br>Yellow:  Amazon Aurora MySQL clusters backtracking is not enabled.<br><br><b>Recommended Action</b><br>Turn on backtracking for your Amazon Aurora MySQL cluster.<br><br>For more information, see <a href=""https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/AuroraMySQL.Managing.Backtrack.html#AuroraMySQL.Managing.Backtrack.Configuring.Console.Creating"" target=""_blank"">Backtracking an Aurora DB cluster</a><br>"
dx3xfbjfMr,"Route 53 Traffic Policies","service_limits","Checks for usage that is more than 80% of the Route 53 Traffic Policies Limit per account. Values are based on a snapshot, so your current usage might differ. Limit and usage data can take up to 24 hours to reflect any changes. In cases where limits have been recently increased, you may temporarily see utilization that exceeds the limit.<br><br><h4 class='headerBodyStyle'>Alert Criteria</h4><br>Yellow: 80% of limit reached.<br>Red: 100% of limit reached.<br>Blue: Trusted Advisor was unable to retrieve utilization or limits in one or more regions.<br><br><h4 class='headerBodyStyle'>Recommended Action</h4><br>If you expect to exceed a service limit, request an increase directly from the <a href=""https://us-east-1.console.aws.amazon.com/servicequotas/home?region=us-east-1"" target=""_blank"">Service Quotas</a> console. If Service Quotas doesn’t support your service yet, you can create a support case in <a href=""https://aws.amazon.com/support/createCase?type=service_limit_increase"" target=""_blank"">Support Center</a>.<br><br><h4 class='headerBodyStyle'>Additional Resources</h4><br><a href=""https://docs.aws.amazon.com/general/latest/gr/aws_service_limits.html"" target=""_blank"">Route 53 Limits</a>"
gH5CC0e3J9,"EBS Cold HDD (sc1) Volume Storage","service_limits","Checks for usage that is more than 80% of the EBS Cold HDD (sc1) Volume Storage Limit. Values are based on a snapshot, so your current usage might differ. Limit and usage data can take up to 24 hours to reflect any changes. In cases where limits have been recently increased, you may temporarily see utilization that exceeds the limit.<br><br><h4 class='headerBodyStyle'>Alert Criteria</h4><br>Yellow: 80% of limit reached.<br>Red: 100% of limit reached.<br>Blue: Trusted Advisor was unable to retrieve utilization or limits in one or more regions.<br><br><h4 class='headerBodyStyle'>Recommended Action</h4><br>If you expect to exceed a service limit, request an increase directly from the <a href=""https://us-east-1.console.aws.amazon.com/servicequotas/home?region=us-east-1"" target=""_blank"">Service Quotas</a> console. If Service Quotas doesn’t support your service yet, you can create a support case in <a href=""https://aws.amazon.com/support/createCase?type=service_limit_increase"" target=""_blank"">Support Center</a>.<br><br><h4 class='headerBodyStyle'>Additional Resources</h4><br><a href=""https://docs.aws.amazon.com/general/latest/gr/aws_service_limits.html#limits_ebs"" target=""_blank"">EBS Limits</a>"
c18d2gz138,"Amazon DynamoDB Point-in-time Recovery","fault_tolerance","Checks if point-in time-recovery is enabled for your Amazon DynamoDB tables.Point-in time-recovery helps protect your DynamoDB tabels from accidental write or delete operations. With point-in time-recovery, you don't have to worry about creating, maintaining, or scheduling on-demand backups. Point-in time-recoveryr estores tables to any point in time during the last 35 days. DynamoDB maintains incremental backups of your table.<br><br>For more information, see <a href=""https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/PointInTimeRecovery.html"" target=""_blank"">Point-in-time recovery for DynamoDB</a>.<br><br><b>Source</b><br>AWS Config Managed Rule: dynamodb-pitr-enabled<br><br><b>Alert Criteria</b><br>Yellow: Point-in-time recovery is not enabled for your DynamoDB tables.<br><br><b>Recommended Action</b><br>Turn on point-in-time recovery in  Amazon DynamoDB to continuously back up your table data.<br><br>For more information, see <a href=""https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/PointInTimeRecovery_Howitworks.html"" target=""_blank"">Point-in-time recovery: How it works</a>.<br><br><b>Additional Resources</b><br><a href=""https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/PointInTimeRecovery.html"" target=""_blank"">Point-in-time recovery for DynamoDB</a>"
c18d2gz135,"Amazon Redshift cluster automated snapshots","fault_tolerance","Checks if automated snapshots are enabled for your Amazon Redshift clusters. Amazon Redshift automatically takes incremental snapshots that track changes to the cluster since the previous automated snapshot. Automated snapshots retain all of the data required to restore a cluster from a snapshot. To disable automated snapshots, set the retention period to zero. You can't disable automated snapshots for RA3 node types.<br><br>You can specify your desired minimum and maximum retention period,  using the “MinRetentionPeriod"" and ""MaxRetentionPeriod"" parameters of your AWS Config rules.<br><br>For more information, see <a href=""https://docs.aws.amazon.com/redshift/latest/mgmt/working-with-snapshots.html"" target=""_blank"">Amazon Redshift snapshots and backups</a>.<br><br><b>Source</b><br>AWS Config Managed Rule: redshift-backup-enabled<br><br><b>Alert Criteria</b><br>Red: Amazon Redshift cluster has automated snapsots disabled<br><br><b>Recommended Action</b><br>Ensure that automated snapshots are enabled for your Redshift clusters.<br><br>For more information, see <a href=""https://docs.aws.amazon.com/redshift/latest/mgmt/managing-snapshots-console.html"" target=""_blank"">Managing snapshots using the console</a>.<br><br><b>Additional Resources</b><br><a href=""https://docs.aws.amazon.com/redshift/latest/mgmt/working-with-snapshots.html"" target=""_blank"">Snapshots and backups for Amazon Redshift</a>"
c18d2gz136,"Amazon DynamoDB Auto Scaling Not Enabled",performance,"Checks if your Amazon DynamoDB tables and global secondary indexes have auto scaling or on-demand enabled.<br><br>Amazon DynamoDB auto scaling uses the AWS Application Auto Scaling service to dynamically adjust provisioned throughput capacity on your behalf, in response to actual traffic patterns. This enables a table or a global secondary index to increase its provisioned read and write capacity to handle sudden increases in traffic, without throttling. When the workload decreases, Application Auto Scaling decreases the throughput so that you don't pay for unused provisioned capacity.<br><br>You can adjust the check configuration using the parameters in your AWS Config rules.<br>For more information, see <a href=""https://docs.aws.amazon.com//amazondynamodb/latest/developerguide/AutoScaling.html"" target=""_blank"">Managing throughput capacity automatically with DynamoDB auto scaling</a>.<br><br><b>Source</b><br>AWS Config Managed Rule: dynamodb-autoscaling-enabled<br><br><b>Alert Criteria</b><br>Yellow: Auto scaling is not enabled for your Amazon DynamoDB tables and/or global secondary indexes.<br><br><b>Recommended Action</b><br>Unless you already have a mechanism to automatically scale the provisioned throughput of your Amazon DynamoDB table and/or the global secondary indexes based on your workload requirement, consider turning on auto scaling for your Amazon DynamoDB tables.<br>For more information, see <a href=""https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/AutoScaling.Console.html"" target=""_blank"">Using the AWS Management Console with DynamoDB auto scaling</a>.<br>"
cF171Db240,"Amazon Route 53 Name Server Delegations","fault_tolerance","Checks for Amazon Route 53 hosted zones for which your domain registrar or DNS is not using the correct Route 53 name servers. When you create a hosted zone, Route 53 assigns a delegation set of four name servers. The names of these servers are ns-###.awsdns-##.com, .net, .org, and .co.uk, where ### and ## typically represent different numbers. Before Route 53 can route DNS queries for your domain, you must update your registrar's name server configuration to remove the name servers that the registrar assigned and add all four name servers in the Route 53 delegation set. For maximum availability, you must add all four Route 53 name servers. Hosted zones created by AWS services won’t appear in your check results.<br/><br/><h4 class='headerBodyStyle'>Alert Criteria</h4><br/>Yellow: A hosted zone for which the registrar for your domain does not use all four of the Route 53 name servers in the delegation set.<br/><br/><h4 class='headerBodyStyle'>Recommended Action</h4><br/>Add or update name server records with your registrar or with the current DNS service for your domain to include all four of the name servers in your Route 53 delegation set. To find these values, see <a href=""http://docs.aws.amazon.com/Route53/latest/DeveloperGuide/GetInfoAboutHostedZone.html"" target=""_blank"">Getting the Name Servers for a Hosted Zone</a>. For information about adding or updating name server records, see <a href=""http://docs.aws.amazon.com/Route53/latest/DeveloperGuide/creating-migrating.html"" target=""_blank"">Creating and Migrating Domains and Subdomains to Amazon Route&nbsp;53</a>.<br/><br/><h4 class='headerBodyStyle'>Additional Resources</h4><br/><a href=""http://docs.aws.amazon.com/Route53/latest/DeveloperGuide/AboutHZWorkingWith.html"" target=""_blank"">Working with Hosted Zones</a> <br/>"
c18d2gz122,"Amazon VPC Without Flow Logs","operational_excellence","Checks if Amazon VPC Flow Logs are created for a VPC.<br><br>For more information, see <a href=""https://docs.aws.amazon.com/vpc/latest/userguide/flow-logs.html"" target=""_blank"">Logging IP traffic using VPC Flow Logs</a>.<br><br><b>Source</b><br>AWS Config Managed Rule: vpc-flow-logs-enabled<br><br><b>Alert Criteria</b><br>Yellow: VPCs do not have VPC Flow Logs.<br><br><b>Recommended Action</b><br>Create VPC Flow Logs for each of your VPCs.<br><br>For more information, see <a href=""https://docs.aws.amazon.com/vpc/latest/userguide/working-with-flow-logs.html#create-flow-log"" target=""_blank"">Create a flow log</a>.<br>"
